wi,wn,comp_true,comp_calc
1,P1,0.907029478458051,0.36978835031262863
2,I1,0.907029478458051,0.09186398291956648
3,P2,0.907029478458051,0.5125787530728138
4,I2,0.907029478458051,0.3702747680382174
5,P3,1.092137535286224,0.4538498135685171
6,I3,1.6659725114535628,1.130590788178811
7,P4,0.907029478458051,0.8818141771500616
8,I4,1.6659725114535626,2.739449894103026
9,P5,1.814058956916102,3.5607391435988602
