wi,t,p_true,p_pred
7,86,13.158,13.021035194396973
3,232,15.258,15.260520935058594
2,44,28.807,28.647653579711914
2,60,27.946,27.66855239868164
1,18,3.692,4.801944255828857
2,20,28.231,28.097801208496094
3,134,15.255,15.257061958312988
8,164,20.826,20.952512741088867
5,109,10.94,10.939298629760742
3,4,18.717,18.691179275512695
7,139,13.912,13.963835716247559
3,182,14.24,14.240620613098145
6,229,22.789,22.859210968017578
2,32,12.013,12.87545394897461
7,42,13.993,14.069723129272461
2,214,21.916,22.13484001159668
1,53,10.895,10.706319808959961
1,143,12.917,12.769662857055664
3,200,14.622,14.630348205566406
7,232,14.381,14.507501602172852
3,242,15.258,15.260525703430176
7,9,20.358,20.46765899658203
5,251,13.321,13.269025802612305
5,138,13.187,13.256553649902344
9,228,16.262,16.407812118530273
5,164,13.436,13.54700756072998
6,10,24.946,24.862150192260742
1,125,7.888,8.182134628295898
5,130,13.18,13.253473281860352
8,198,19.547,19.71175765991211
1,184,9.31,9.330224990844727
6,157,22.684,22.676044464111328
7,150,13.908,13.958806037902832
8,18,19.195,19.05693817138672
1,247,13.518,13.355582237243652
9,210,15.421,15.410798072814941
3,93,15.059,15.032585144042969
8,190,19.525,19.690153121948242
7,78,14.267,14.343507766723633
1,18,3.692,4.801944255828857
6,163,22.739,22.69882583618164
4,227,21.544,21.519376754760742
9,152,15.394,15.383071899414062
2,228,23.811,23.924278259277344
1,8,11.891,12.021414756774902
5,134,13.187,13.256552696228027
